DATE,IRLTLT01USM156N,CPIAUCSL_PC1
1/1/1948,.,10.24209
2/1/1948,.,9.48196
3/1/1948,.,6.81818
4/1/1948,.,8.27273
5/1/1948,.,9.38497
6/1/1948,.,9.375
7/1/1948,.,9.76158
8/1/1948,.,9.0625
9/1/1948,.,6.65499
10/1/1948,.,6.11087
11/1/1948,.,4.77016
12/1/1948,.,2.73387
1/1/1949,.,1.39358
2/1/1949,.,1.01394
3/1/1949,.,1.74468
4/1/1949,.,0.41982
5/1/1949,.,-0.41649
6/1/1949,.,-0.95238
7/1/1949,.,-2.86885
8/1/1949,.,-2.98813
9/1/1949,.,-2.50411
10/1/1949,.,-2.63266
11/1/1949,.,-1.90397
12/1/1949,.,-1.82952
1/1/1950,.,-2.08247
2/1/1950,.,-1.25471
3/1/1950,.,-1.12923
4/1/1950,.,-1.12876
5/1/1950,.,-0.58553
6/1/1950,.,-0.16722
7/1/1950,.,1.56118
8/1/1950,.,2.1097
9/1/1950,.,2.48421
10/1/1950,.,3.50655
11/1/1950,.,3.79747
12/1/1950,.,5.80263
1/1/1951,.,7.95406
2/1/1951,.,9.4028
3/1/1951,.,9.47547
4/1/1951,.,9.59831
5/1/1951,.,9.3395
6/1/1951,.,8.58459
7/1/1951,.,7.64437
8/1/1951,.,6.8595
9/1/1951,.,6.9433
10/1/1951,.,6.77551
11/1/1951,.,6.99187
12/1/1951,.,5.96477
1/1/1952,.,4.21592
2/1/1952,.,2.24545
3/1/1952,.,1.97063
4/1/1952,.,2.08333
5/1/1952,.,1.84686
6/1/1952,.,2.31392
7/1/1952,.,2.97183
8/1/1952,.,3.20959
9/1/1952,.,2.30503
10/1/1952,.,2.02599
11/1/1952,.,1.40578
12/1/1952,.,0.90669
1/1/1953,.,0.71834
2/1/1953,.,0.68156
3/1/1953,.,0.90944
4/1/1953,.,0.86924
5/1/1953,.,0.86891
6/1/1953,.,0.90464
7/1/1953,.,0.41229
8/1/1953,.,0.59948
9/1/1953,.,0.97634
10/1/1953,.,0.97415
11/1/1953,.,0.59948
12/1/1953,.,0.59903
1/1/1954,.,1.12613
2/1/1954,.,1.50432
3/1/1954,.,1.12655
4/1/1954,.,0.63694
5/1/1954,.,0.86142
6/1/1954,.,0.63504
7/1/1954,.,0.26129
8/1/1954,.,0
9/1/1954,.,-0.29751
10/1/1954,.,-0.85343
11/1/1954,.,-0.26071
12/1/1954,.,-0.37216
1/1/1955,.,-0.63103
2/1/1955,.,-0.62986
3/1/1955,.,-0.51987
4/1/1955,.,-0.26061
5/1/1955,.,-0.59413
6/1/1955,.,-0.85375
7/1/1955,.,-0.3723
8/1/1955,.,-0.48417
9/1/1955,.,0.1492
10/1/1955,.,0.37425
11/1/1955,.,0.37341
12/1/1955,.,0.37355
1/1/1956,.,0.22413
